dates,close,index,evt
1/4/2008,2.44,52529.9,0
1/7/2008,2.427,52569.5,0
1/8/2008,2.427,53235.9,0
1/9/2008,2.427,52730.7,0
1/10/2008,2.427,52351,0
1/11/2008,2.427,51920.6,0
1/14/2008,2.427,51480.9,0
1/15/2008,2.415,50377.3,0
1/16/2008,2.44,49093.8,0
1/17/2008,2.465,48902.8,0
1/18/2008,2.452,48657.5,0
1/21/2008,2.489,45544.1,0
1/22/2008,2.477,44593.7,0
1/23/2008,2.502,42539.5,0
1/24/2008,2.465,45010.7,0
1/25/2008,2.527,45497.2,0
1/28/2008,2.527,43706.7,0
1/29/2008,2.551,44572.7,0
1/30/2008,2.551,44304.4,0
1/31/2008,2.576,42697.6,0
2/1/2008,2.576,44452.1,0
2/4/2008,2.576,45719.9,0
2/5/2008,2.601,44350.8,0
2/6/2008,2.576,43317.5,0
2/7/2008,2.576,41866.4,0
2/8/2008,2.601,41957.9,0
2/11/2008,2.725,41342.8,0
2/12/2008,2.675,43539.9,0
2/13/2008,2.7,44752.5,0
2/14/2008,2.7,45493.7,0
2/15/2008,2.675,44305.3,0
2/18/2008,2.7,45741.7,0
2/19/2008,2.7,46249.3,0
2/20/2008,2.675,45876.7,0
2/21/2008,2.7,46446.6,0
2/22/2008,2.7,45592.5,0
2/25/2008,2.675,44895,0
2/26/2008,2.65,45524.5,0
2/27/2008,2.675,46260.3,0
2/28/2008,2.7,45823.3,0
2/29/2008,2.675,44776.9,0
3/3/2008,2.675,43343.6,0
3/4/2008,2.626,42923,0
3/5/2008,2.626,43468,0
3/6/2008,2.626,42523.9,0
3/7/2008,2.551,41537.2,0
3/10/2008,2.601,41534.9,0
3/11/2008,2.551,43318,0
3/12/2008,2.502,44248.1,0
3/13/2008,2.465,42421.9,0
3/14/2008,2.477,42585.9,0
3/17/2008,2.427,39409.4,0
3/18/2008,2.44,40720.3,0
3/19/2008,2.489,40907,0
3/20/2008,2.477,39847.8,0
3/21/2008,2.601,39719.1,0
3/24/2008,2.527,41143.6,0
3/25/2008,2.576,40992.4,0
3/26/2008,2.601,40658.5,0
3/27/2008,2.601,40634.9,0
3/28/2008,2.576,39501.2,0
3/31/2008,2.527,39015.4,1
4/1/2008,2.551,40674.2,0
4/2/2008,2.502,40985.2,0
4/3/2008,2.502,41609.1,0
4/4/2008,2.477,41362.7,0
4/7/2008,2.477,42277.1,0
4/8/2008,2.465,42170.2,0
4/9/2008,2.477,42900.5,0
4/10/2008,2.489,42096.5,0
